ID,3TC,ABC,AZT,D4T,DDC,DDI,DLV,EFV,NVP,TDF,FTC
97861,32.0,1.4,3.4,0.7,1.3,1.2,1.3,0.7,6.7,2.2,33.1
97877,1.8,1.1,1.4,1.1,2.5,1.7,3.7,1.9,3.4,1.5,2.3
97893,36.7,3.7,23.6,2.4,1.6,1.9,1.7,0.7,10.3,3.2,48.8
97899,2.4,1.0,1.1,1.1,1.0,1.0,0.4,4.8,98.9,2.4,3.4
97903,1.3,1.1,2.3,1.2,0.9,0.9,97.3,130.5,88.4,1.3,2.0
100444,,0.9,,0.9,,1.3,,,,,
100446,,0.2,,0.2,,0.6,,,,,
100452,,0.4,,0.7,,0.6,,,,,
100454,,1.3,,1.8,,1.8,,,,,
100456,,3.7,,1.3,,2.5,,,,,
100458,,1.5,,0.9,,1.9,,,,,
100460,,1.4,,0.4,,1.4,,,,,
100462,,2.5,,0.3,,0.4,,,,,
100464,,2.1,,1.7,,,,,,,
100466,,0.4,,0.7,,0.4,,,,,
100470,,1.5,,3.3,,2.5,,,,,
100472,,1.2,,0.3,,1.0,,,,,
100474,,2.0,,2.0,,1.4,,,,,
100476,,1.5,,2.1,,2.1,,,,,
100478,,3.1,,1.2,,1.9,,,,,
100480,,0.8,,2.1,,2.6,,,,,
100482,,3.0,,5.4,,2.7,,,,,
100484,,7.8,,,,2.6,,,,,
100490,,1.9,,1.2,,1.8,,,,,
